date,case,DLRt,DLAccases,Accase,DLdaily
2020/06/26 12:00:00+00,111,0.86848557,34132.703,34316,211.1953125
2020/06/27 12:00:00+00,160,0.86847436,34341.137,34476,208.43359375
2020/06/28 12:00:00+00,178,0.8684646,34546.844,34654,205.70703125
2020/06/29 12:00:00+00,257,0.86845577,34749.86,34911,203.015625
2020/06/30 12:00:00+00,157,0.868448,34950.215,35068,200.35546875
2020/07/01 12:00:00+00,0,0.8684411,35147.953,35068,197.73828125
2020/07/02 12:00:00+00,302,0.86843514,35343.1,35370,195.1484375
2020/07/03 12:00:00+00,165,0.86842966,35535.7,35535,192.59765625
2020/07/04 12:00:00+00,121,0.8684249,35725.773,35656,190.07421875
2020/07/05 12:00:00+00,138,0.86842084,35913.36,35794,187.5859375
2020/07/06 12:00:00+00,154,0.868417,36098.504,35948,185.14453125
2020/07/07 12:00:00+00,112,0.8684137,36281.215,36060,182.7109375
2020/07/08 12:00:00+00,118,0.8684108,36461.54,36178,180.32421875
2020/07/09 12:00:00+00,170,0.8684082,36639.504,36348,177.96484375
2020/07/10 12:00:00+00,116,0.86840606,36815.145,36464,175.640625
2020/07/11 12:00:00+00,130,0.8684039,36988.49,36594,173.34375
2020/07/12 12:00:00+00,129,0.86840224,37159.562,36723,171.07421875
2020/07/13 12:00:00+00,116,0.8684006,37328.4,36839,168.8359375
2020/07/14 12:00:00+00,111,0.8683994,37495.03,36950,166.6328125
2020/07/15 12:00:00+00,102,0.86839795,37659.473,37052,164.44140625
2020/07/16 12:00:00+00,111,0.868397,37821.797,37163,162.32421875
2020/07/17 12:00:00+00,111,0.86839604,37981.99,37274,160.19140625
2020/07/18 12:00:00+00,166,0.8683951,38140.066,37440,158.078125
2020/07/19 12:00:00+00,164,0.8683944,38296.09,37604,156.0234375
2020/07/20 12:00:00+00,135,0.86839366,38450.08,37739,153.98828125
2020/07/21 12:00:00+00,203,0.86839294,38602.047,37942,151.96875
2020/07/22 12:00:00+00,165,0.86839247,38752.03,38107,149.984375
