date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2020-03-11,R,NA,estimate,1.7772872215535638,1.7747704553181733,0.07554547586510879,1.650502021717091,1.725209964070947,1.757179291818519,1.7941540337490758,1.825493058290817,1.8967286522771953
2020-03-12,R,NA,estimate,1.7686347424807667,1.7650063760881758,0.073008807933754985,1.6451374358177782,1.7162680126023564,1.749703572871589,1.7859930441952945,1.8159077369482157,1.8810967576569193
2020-03-13,R,NA,estimate,1.7603179020707813,1.756585090516463,0.07135739349938795,1.635703526592776,1.7079864205903765,1.7406098358107018,1.7790480148223151,1.8070092354627183,1.8707144707445829
2020-03-14,R,NA,estimate,1.7541555057598663,1.749811726501619,0.07000913865315779,1.6265178155960598,1.7038951393271466,1.7354440863887226,1.772449514711227,1.7969348844806925,1.8588648602337763
2020-03-15,R,NA,estimate,1.7487674762567234,1.7446914628943149,0.06828806053349719,1.6212844715312447,1.7011278875210523,1.7326920396984056,1.7655337754840508,1.7892484472178418,1.8506538499990444
2020-03-16,R,NA,estimate,1.744573128643413,1.740870047706534,0.0657816832773244,1.6234526568749181,1.7000360942732602,1.7293603699814353,1.7597152350876568,1.7833085303574616,1.8426676814569465
2020-03-17,R,NA,estimate,1.7404857591918859,1.7376088368366525,0.06259735005466521,1.6335512399644585,1.6997256470061453,1.725752663182596,1.7535217088812836,1.7769264811236785,1.8370691485413382
2020-03-18,R,NA,estimate,1.7341008116387622,1.733800226053763,0.059461902758637775,1.6361443598021934,1.6988004859365788,1.7204663448936932,1.7465800679833219,1.7714406316677036,1.8321539387382908
2020-03-19,R,NA,estimate,1.7267058606447323,1.7280302814383195,0.05755974935194473,1.6340713990353635,1.6911030875098303,1.71397916031236,1.7397738981054518,1.7627845643661808,1.8241105803150515
2020-03-20,R,NA,estimate,1.7162639983671646,1.7186948637541113,0.057928037165751366,1.6259690762282322,1.6796658445028831,1.7026099865579232,1.7299499169470103,1.7533906045053749,1.821448975910294
2020-03-21,R,NA,estimate,1.6992586561298215,1.7041706215161434,0.06060772624468875,1.613325307110463,1.660801368840362,1.686291166672028,1.7142888081137408,1.7420564274877868,1.81081578943881
2020-03-22,R,NA,estimate,1.6778664677855168,1.683031010330614,0.06439291622984773,1.5864152112558128,1.637795134896978,1.6628674908427892,1.6936331159925206,1.7236960021715872,1.7973483325923076
2020-03-23,R,NA,estimate,1.648040024080354,1.6542807696563557,0.06747349079643127,1.5554054985768773,1.6062172652163536,1.631663289562412,1.66530598954999,1.697695117560769,1.7761080252222108
2020-03-24,R,NA,estimate,1.6101996936153464,1.617564956138797,0.06825733020826463,1.5207904342321354,1.56920266532988,1.5935778401691998,1.6289559757778163,1.6599748699771368,1.740663579744609
2020-03-25,R,NA,estimate,1.5663240612994271,1.5732995871567923,0.06589153576661906,1.4803550012692739,1.5261359732213178,1.5510852002016104,1.5821396906156866,1.6135574321730535,1.694986421472947
2020-03-26,R,NA,estimate,1.5169604645703774,1.5226795432873999,0.060509356756353806,1.4372022354982719,1.4785355144930694,1.5020502558510316,1.5315650036218131,1.5576296827384886,1.6325759801759105
2020-03-27,R,NA,estimate,1.4634136532336064,1.46754863606215,0.053293624712712304,1.39057880176369,1.4296550623548154,1.4493946429798825,1.4751531856368971,1.498665437973663,1.5639835722214834
2020-03-28,R,NA,estimate,1.4063811262670873,1.4101577353274937,0.04634785090642791,1.340744384492063,1.3786984323960005,1.3957984624877358,1.4181505928277325,1.4394092416523652,1.4933972279952559
2020-03-29,R,NA,estimate,1.35235936081396,1.352870922098873,0.042097062520951724,1.284833970280378,1.3255728823059607,1.3417830128054682,1.3619406219789125,1.3795606356451442,1.423880094907961
2020-03-30,R,NA,estimate,1.2992566879092151,1.297889840451929,0.0417836676747125,1.2264273122491316,1.2709538916172995,1.2898422567966892,1.3090986220546448,1.325707248184771,1.3654684031461999
2020-03-31,R,NA,estimate,1.249590718397394,1.247049450906915,0.04432412986529518,1.170177500722347,1.2201041396809709,1.2380785032973545,1.259578655811078,1.2778205913066663,1.3150130824409687
