t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
131,137,0.788047374,0.025186103,0.739450298,0.747082569,0.770916523,0.787779073,0.80488575,0.829927381,0.838169162
132,138,0.759047832,0.024890159,0.711041606,0.718576398,0.74211468,0.758775789,0.77568443,0.800447232,0.808600033
133,139,0.777278932,0.025365539,0.728352,0.736032206,0.760023065,0.777003025,0.794234032,0.819466805,0.827773798
134,140,0.781223441,0.025617326,0.731814711,0.739569632,0.763795586,0.78094345,0.798346077,0.823832326,0.832223312
135,141,0.761178493,0.025486141,0.712039664,0.719748233,0.743836829,0.760894065,0.778210103,0.803578965,0.811933676
136,142,0.773388397,0.025909486,0.723433799,0.731270231,0.755758589,0.773099082,0.790702823,0.816493445,0.82498712
137,143,0.773573376,0.026151553,0.723159706,0.731066347,0.755777475,0.773278702,0.791048054,0.817085573,0.825661634
138,144,0.735657146,0.025753151,0.686041144,0.693815679,0.718126997,0.735356654,0.75285973,0.778523623,0.786980791
139,145,0.74629727,0.026206042,0.695811438,0.70372163,0.728458351,0.745990553,0.763801838,0.789919155,0.798526123
140,146,0.796131597,0.027355405,0.743411734,0.751676632,0.777513857,0.795818304,0.814407817,0.841655235,0.850631847
141,147,0.847310805,0.028530439,0.79230756,0.800934877,0.827896757,0.846990603,0.866375801,0.894778975,0.904133703
142,148,0.885096701,0.029486846,0.828239532,0.837160022,0.865033674,0.884769273,0.904802799,0.934150273,0.943814592
143,149,0.997569537,0.031656912,0.936480053,0.946075905,0.976038675,0.99723469,1.018735382,1.050205369,1.060561907
144,150,1.084089921,0.033360561,1.019682136,1.029806487,1.061405933,1.083747741,1.106400898,1.13954057,1.15044227
