"","date","case","DeepLearningRt","EpiEstimRt","EpiNow2Rt","KalmanRt","DeepLearningIt","EpiEstimIt","EpiNow2It","EmsembleRt","EmsembleIt"
"25",2020-03-25,100,2.7276263,5.897981637,1.46754863606215,2.8912505,126.548767089844,100,169.464,3.36438552435405,132.004255696615
"26",2020-03-26,170,2.660185,5.695726615,1.41015773532749,2.871186823,146.863159179688,170,193.7945,3.25535645010916,170.219219726562
"27",2020-03-27,135,2.5891216,5.641174754,1.35287092209887,2.72946171,168.913513183594,135,220.723,3.19438909203296,174.878837727865
"28",2020-03-28,151,2.5153773,5.233226794,1.29788984045193,2.784429708,192.501220703125,151,243.225,3.01549797815064,195.575406901042
"29",2020-03-29,211,2.439864,4.755535642,1.24704945090691,3.136029234,217.40771484375,211,267.7075,2.81414969763564,232.038404947917
"30",2020-03-30,351,2.363424,3.940396843,1.20170606663186,2.812519039,243.348266601562,351,292.1725,2.50184230321062,295.506922200521
"31",2020-03-31,260,2.2868037,3.475431358,1.16270812830683,3.006290217,269.988403320312,260,366.381,2.30831439543561,298.789801106771
"32",2020-04-01,426,2.2106338,3.083933145,1.13042309538327,2.95137917,296.9521484375,426,378.2085,2.14166334679442,367.053549479167
"33",2020-04-02,401,2.1354234,2.720250416,1.10479177359883,2.84537773,323.86181640625,401,395.4805,1.98682186319961,373.447438802083
"34",2020-04-03,462,2.0615766,2.37562773,1.08538947153281,2.432441927,350.349609375,462,414.862,1.84086460051094,409.070536458333
"35",2020-04-04,375,1.9893966,2.117492599,1.07148520090925,2.291332737,376.0537109375,375,421.4335,1.72612479996975,390.8290703125
"36",2020-04-05,408,1.9191127,1.886457981,1.06210076069876,1.914696596,400.5087890625,408,428.457,1.62255714723292,412.3219296875
"37",2020-04-06,309,1.8508987,1.770503468,1.05607788602566,1.734496347,423.4462890625,309,436.858,1.55916001800855,389.768096354167
"38",2020-04-07,379,1.7848907,1.67619196,1.05216198672489,1.689375442,444.62353515625,379,510.296,1.50441488224163,444.639845052083
"39",2020-04-08,550,1.7211993,1.526566855,1.04910506396431,1.664880986,463.8037109375,550,493.8965,1.43229040632144,502.566736979167
"40",2020-04-09,483,1.659924,1.443363557,1.0457801040991,1.612414697,480.74951171875,483,495.613,1.3830225536997,486.454170572917
"41",2020-04-10,478,1.6011527,1.400070276,1.04128910962328,1.58984185,495.39404296875,478,502.4595,1.34750402854109,491.951180989583
"42",2020-04-11,411,1.54497,1.362641621,1.03504250726818,1.515643432,507.60009765625,411,491.939,1.31421804275606,470.17969921875
"43",2020-04-12,401,1.4914486,1.370440956,1.02679230642167,1.361283573,517.2587890625,401,488.431,1.29622728747389,468.896596354167
"44",2020-04-13,421,1.4406519,1.389665037,1.01661350053804,1.313817505,524.54443359375,421,489.039,1.28231014584601,478.194477864583
"45",2020-04-14,483,1.3926282,1.369719336,1.00484203851575,1.283131751,529.6376953125,483,560.1485,1.25572985817192,524.262065104167
"46",2020-04-15,494,1.347408,1.335880373,0.991987106703955,1.305958001,532.71728515625,494,536.738,1.22509182656799,521.15176171875
"47",2020-04-16,514,1.3050022,1.341188883,0.978637663623286,1.356487668,533.962890625,514,536.3075,1.20827624887443,528.090130208333
"48",2020-04-17,564,1.2653956,1.332058119,0.965379433948448,1.343650858,533.552734375,564,533.446,1.18761105098282,543.666244791667
"49",2020-04-18,485,1.2285533,1.295572663,0.952732228256481,1.342481075,531.67578125,485,520.6395,1.15895273041883,512.438427083333
"50",2020-04-19,568,1.1944177,1.221748621,0.941111444246335,1.353408585,528.498046875,568,510.8945,1.11909258841545,535.797515625
"51",2020-04-20,606,1.162909,1.135303509,0.930813266313739,1.324882101,524.1953125,606,498.3025,1.07634192510458,542.832604166667
"52",2020-04-21,551,1.1339321,1.099959977,0.922020350305038,1.258214191,519.1064453125,551,563.798,1.05197080910168,544.634815104167
"53",2020-04-22,510,1.1073755,1.0265448,0.914823006838483,1.293732417,513.4384765625,510,532.243,1.01624776894616,518.5604921875
"54",2020-04-23,634,1.0831149,0.954514998,0.909249600504288,1.288356527,507.291015625,634,517.9575,0.982293166168096,553.082838541667
"55",2020-04-24,640,1.0610203,0.875310248,0.905299115606493,1.196894517,500.759765625,640,504.719,0.947209887868831,548.492921875
"56",2020-04-25,476,1.0409542,0.872651462,0.902969046866802,1.126180625,493.9384765625,476,472.7685,0.938858236288934,480.902325520833
"57",2020-04-26,437,1.0227791,0.863309123,0.902273295391162,1.076684119,486.931640625,437,461.078,0.929453839463721,461.669880208333
"58",2020-04-27,424,1.0063548,0.844294852,0.90324735352836,1.023884801,479.8369140625,424,440.4785,0.917965668509453,448.105138020833
"59",2020-04-28,525,0.9915465,0.806478315,0.905940933154985,0.901827428,472.732421875,525,488.165,0.901321916051662,495.299140625
